Country Name;Number 
Poland ;1,640,510
Russia;1,212,585
Germany;1,125,950
Czech Republic;547,67
United Kingdom;210,8
Spain;186,045
Bulgaria;168,57
Italy;163,57
Moldova;116,615
Romania;106,786
Slovakia;107,415
Netherlands;94,415
Ireland;91,33
Austria;81,87
France;70,57
Belgium;70,435
Switzerland;65,555
Estonia;63,85
Finland;61,06
Portugal;56,995
Lithuania;48,425
Sweden;56,165
Norway;56,97
Latvia;43,592
Turkey;41,39
Denmark;41,155
Montenegro;37,05
Belarus;37
Hungary;33,316
Georgia;27
Greece ;25,05
Croatia;23,035
Cyprus;18,225
North Macedonia;17,315
Slovenia;10,14
Luxembourg;6,065
